  id  |  votes  | metascore | userscore 
  792 |   92868 |        42 |       6.3
  793 |  154936 |        56 |       6.6
  794 |    4370 |        85 |       7.8
  795 |  129252 |        40 |       6.6
  796 |  178243 |        50 |       6.2
  797 |   87887 |        77 |       7.3
  798 |  304837 |        62 |       7.4
  799 |   93883 |        57 |       6.5
  800 |  199813 |        81 |         7
  801 |    7091 |        23 |       4.3
  802 |  196652 |        66 |       7.2
  803 |  146566 |        59 |       6.2
  804 |  103681 |        57 |       6.2
  805 |  221073 |        64 |       6.8
  806 |   52537 |        55 |         6
  807 |  233148 |        50 |       6.6
  808 |  115751 |        82 |       7.1
  809 |    4771 |        65 |       6.8
  810 |    4964 |        30 |       5.2
  811 |   19309 |        60 |       6.7
  812 |  142560 |        57 |       6.2
  813 |  153448 |        42 |         7
  814 |   72050 |        54 |       6.3
  815 |  149779 |        83 |       7.8
  816 |  285441 |        76 |       7.6
  817 |    8755 |        27 |       5.4
  818 |  294010 |        82 |       7.6
  819 |   91106 |        37 |       5.4
  820 |     564 |        63 |       4.6
  821 |   13711 |           |       6.9
  822 |  130153 |        65 |       6.8
  823 |  180105 |        32 |       5.8
  824 |    5855 |        72 |         7
  825 |    4779 |        27 |       5.8
  826 |    1427 |        25 |       5.3
  827 |    5715 |           |       4.6
  828 |    1391 |        77 |       5.3
  829 |  160350 |           |       7.6
  830 |   77207 |        15 |       1.9
  831 |  171356 |        63 |       7.2
  832 |   16917 |        54 |       6.4
  833 |   67464 |        76 |       7.4
  834 |   62719 |        29 |       5.7
  835 |  225394 |        58 |       6.4
  859 |  136642 |        52 |       6.4
  836 |   38804 |        24 |       6.3
  837 |    5531 |        84 |       7.5
  838 |  163144 |        54 |       5.5
  839 |    8409 |        23 |       4.2
  840 |     346 |        60 |       7.8
  841 |  125190 |        40 |       6.3
  842 |   15232 |        74 |       6.4
  843 |  137117 |        80 |       7.1
  844 |   95480 |        73 |       7.1
  845 |  157499 |        69 |       6.8
  846 |  276347 |        76 |       7.3
  847 |   77447 |        55 |       6.7
  848 |   77986 |        49 |       7.8
  849 |    1066 |        64 |       6.3
  850 |   69659 |        62 |       7.5
  851 |  198395 |        48 |       6.8
  852 |  111875 |        62 |       7.4
  853 |   88829 |        63 |       6.8
  854 |  208770 |        70 |       7.1
  855 |  329788 |        73 |       7.6
  856 |    9993 |        67 |       5.9
  857 |  297093 |        49 |       6.6
  858 |   55648 |        64 |       7.5
  860 |  206793 |        63 |       7.8
  861 |  119376 |        40 |       7.2
  862 |    2421 |        80 |       8.4
  863 |   32310 |        54 |       6.2
  864 |  100890 |        81 |       7.1
  865 |    6175 |        41 |       6.3
  866 |   61060 |        46 |       6.5
  867 |    7402 |        78 |       6.9
  868 |   20907 |        67 |       6.9
  869 |   20194 |        51 |       6.6
  870 |  270429 |        66 |       6.9
  871 |   21569 |        70 |       7.7
  872 |   59512 |        45 |       2.7
  873 |   64584 |        31 |       5.4
  874 |  113599 |        48 |         7
  875 |  101301 |        39 |       6.6
  876 |  221858 |        78 |         7
  877 |  193579 |        59 |       6.9
  878 |  160592 |        78 |       7.3
  879 |  152145 |        41 |       5.8
  880 |  159230 |        37 |       5.8
  881 |    8365 |        68 |       6.9
  882 |  125693 |        65 |       7.5
  883 |  184564 |        42 |       6.3
  884 |  173919 |        63 |       6.9
  885 |   16361 |        43 |       6.1
  886 |  253417 |        69 |       7.5
  887 |  143517 |        85 |       6.8
  888 |   82874 |        39 |       6.5
  889 |   75262 |        53 |       5.5
  890 |  281625 |        72 |       7.7
  891 |     202 |        59 |       3.5
  892 |  108156 |           |       6.2
  893 |  264480 |        56 |       7.1
  894 |  102547 |        53 |       5.5
  895 |  187077 |        46 |       7.1
  896 |  174553 |        55 |       7.1
  897 |   61274 |           |       7.1
  898 |   93036 |        64 |       7.9
  899 |  172558 |        28 |       6.5
  900 |   83976 |        24 |       5.5
  901 |   27730 |        64 |       6.5
  902 |  118905 |        58 |       5.6
  903 |   55243 |        59 |       6.8
  973 |   64513 |        47 |       5.9
  904 |  237565 |        76 |       7.9
  905 |  190833 |        52 |       6.2
  906 |    1455 |        43 |       6.2
  907 |   12361 |        63 |       6.7
  908 |  269581 |        62 |       6.9
  909 |   64351 |        69 |       6.5
  910 |  187004 |        70 |       6.6
  911 |   17565 |        72 |       6.4
  912 |    4204 |        68 |       4.7
  913 |  117297 |        74 |       7.2
  914 |   66265 |        65 |       7.2
  915 |   33007 |        60 |       6.7
  916 |   17962 |        81 |       7.5
  917 |  257395 |        51 |       6.6
  918 |   19351 |        29 |       6.7
  919 |  199387 |        56 |       7.5
  920 |  155078 |        51 |       6.1
  921 |   67801 |        62 |       6.4
  922 |   31651 |        32 |       6.3
  923 |  152808 |        48 |       6.4
  924 |   57921 |        38 |       6.8
  925 |  246797 |        72 |       6.1
  926 |  190244 |        45 |       4.9
  927 |   91623 |        79 |       7.3
  928 |    7475 |        23 |       5.9
  929 |    3843 |        86 |       6.1
  930 |  112902 |           |       7.1
  931 |   39380 |        58 |       5.9
  932 |   92170 |        46 |       6.8
  933 |     924 |        52 |       5.4
  934 |    2205 |        46 |       6.3
  935 |    4669 |        82 |       6.2
  936 |  137502 |        66 |       6.6
  937 |   60655 |        33 |       4.4
  938 |   64535 |        50 |       6.8
  939 |   14689 |        83 |       7.3
  940 |  279694 |           |       7.4
  941 |   50255 |        58 |       6.1
  942 |  192740 |        58 |       4.9
  943 |    1292 |        73 |       5.8
  944 |   62095 |        35 |       6.1
  945 |  132098 |        49 |       6.4
  946 |   72533 |        66 |       6.9
  947 |   93322 |           |       7.2
  948 |    3990 |        48 |       5.6
  949 |  166512 |        33 |       4.9
  950 |    2417 |        69 |       6.1
  951 |   92076 |        74 |       7.8
  952 |  211348 |        84 |       7.3
  953 |   62403 |        27 |       4.3
  954 |   65653 |        61 |       7.2
  955 |  173731 |        43 |       6.4
  956 |   81823 |        36 |       6.2
  957 |   84158 |        32 |       5.2
  958 |  192190 |        68 |       7.7
  959 |   73567 |        40 |       6.2
  960 |  271940 |        53 |       7.8
  961 |   97141 |        61 |         7
  962 |   10220 |        59 |       5.9
  963 |   88260 |        50 |       6.7
  964 |   60133 |        27 |       6.3
  965 |     280 |        72 |       6.9
  966 |   44227 |           |         7
  967 |    1810 |        70 |       6.7
  968 |   92378 |           |       7.3
  969 |    1210 |        37 |       3.5
  970 |  190855 |           |       6.5
  971 |   37060 |        62 |       4.8
  972 |  193491 |           |       6.9
  974 |  108544 |        52 |       6.2
  975 |    6753 |        73 |       7.4
  976 |   20966 |        37 |         6
  977 |   31634 |        39 |       6.2
  978 |    2229 |        38 |         5
  979 |   10658 |        48 |         7
  980 |  108772 |        70 |       7.6
  981 |   12048 |        44 |         7
  982 |   27312 |        33 |       5.3
  983 |   95172 |        56 |       7.4
  984 |  112729 |        30 |       6.5
  985 |   21405 |        47 |       6.8
  986 |   87904 |        31 |       5.6
  987 |   88000 |        50 |       5.9
  988 |   33688 |        30 |       6.3
  989 |   63785 |        89 |       7.1
  990 |   67637 |           |       7.5
  991 |  129708 |        44 |       6.6
  992 |  102697 |        42 |       8.5
  993 |   45419 |           |       6.3
  994 |  140900 |        37 |       5.9
  995 |  164088 |        48 |       6.7
  996 |   27585 |        45 |       6.2
  997 |   73152 |        46 |       5.5
  998 |   70699 |        50 |       6.2
  999 |    4881 |        22 |       5.6
 1000 |   12435 |        11 |       5.3
(1000 rows)

